简体	越南
对单体造成30%伤害的同时50%几率魅惑目标,使其在下一回合攻击本方武将	Gây 30% sát thương lên 1 kẻ địch và có 50% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至31%，魅惑几率提高至51%	Cấp sau: Tăng sát thương mê hoặc đến 31%, tăng tỉ lệ mê hoặc đến 51%
对单体造成31%伤害的同时51%几率魅惑目标,使其在下一回合攻击本方武将	Gây 31% sát thương lên 1 kẻ địch và có 51% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至32%，魅惑几率提高至52%	Cấp sau: Tăng sát thương mê hoặc đến 32%, tăng tỉ lệ mê hoặc đến 52%
对单体造成32%伤害的同时52%几率魅惑目标,使其在下一回合攻击本方武将	Gây 32% sát thương lên 1 kẻ địch và có 52% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至33%，魅惑几率提高至53%	Cấp sau: Tăng sát thương mê hoặc đến 33%, tăng tỉ lệ mê hoặc đến 53%
对单体造成33%伤害的同时53%几率魅惑目标,使其在下一回合攻击本方武将	Gây 33% sát thương lên 1 kẻ địch và có 53% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至34%，魅惑几率提高至54%	Cấp sau: Tăng sát thương mê hoặc đến 34%, tăng tỉ lệ mê hoặc đến 54%
对单体造成34%伤害的同时54%几率魅惑目标,使其在下一回合攻击本方武将	Gây 34% sát thương lên 1 kẻ địch và có 54% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至35%，魅惑几率提高至55%	Cấp sau: Tăng sát thương mê hoặc đến 35%, tăng tỉ lệ mê hoặc đến 55%
对单体造成35%伤害的同时55%几率魅惑目标,使其在下一回合攻击本方武将	Gây 35% sát thương lên 1 kẻ địch và có 55% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至36%，魅惑几率提高至56%	Cấp sau: Tăng sát thương mê hoặc đến 36%, tăng tỉ lệ mê hoặc đến 56%
对单体造成36%伤害的同时56%几率魅惑目标,使其在下一回合攻击本方武将	Gây 36% sát thương lên 1 kẻ địch và có 56% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至37%，魅惑几率提高至57%	Cấp sau: Tăng sát thương mê hoặc đến 37%, tăng tỉ lệ mê hoặc đến 57%
对单体造成37%伤害的同时57%几率魅惑目标,使其在下一回合攻击本方武将	Gây 37% sát thương lên 1 kẻ địch và có 57% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至38%，魅惑几率提高至58%	Cấp sau: Tăng sát thương mê hoặc đến 38%, tăng tỉ lệ mê hoặc đến 58%
对单体造成38%伤害的同时58%几率魅惑目标,使其在下一回合攻击本方武将	Gây 38% sát thương lên 1 kẻ địch và có 58% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至39%，魅惑几率提高至59%	Cấp sau: Tăng sát thương mê hoặc đến 39%, tăng tỉ lệ mê hoặc đến 59%
对单体造成39%伤害的同时59%几率魅惑目标,使其在下一回合攻击本方武将	Gây 39% sát thương lên 1 kẻ địch và có 59% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至40%，魅惑几率提高至60%	Cấp sau: Tăng sát thương mê hoặc đến 40%, tăng tỉ lệ mê hoặc đến 60%
对单体造成40%伤害的同时60%几率魅惑目标,使其在下一回合攻击本方武将	Gây 40% sát thương lên 1 kẻ địch và có 60% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至41%，魅惑几率提高至61%	Cấp sau: Tăng sát thương mê hoặc đến 41%, tăng tỉ lệ mê hoặc đến 61%
对单体造成41%伤害的同时61%几率魅惑目标,使其在下一回合攻击本方武将	Gây 41% sát thương lên 1 kẻ địch và có 61% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至42%，魅惑几率提高至62%	Cấp sau: Tăng sát thương mê hoặc đến 42%, tăng tỉ lệ mê hoặc đến 62%
对单体造成42%伤害的同时62%几率魅惑目标,使其在下一回合攻击本方武将	Gây 42% sát thương lên 1 kẻ địch và có 62% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至43%，魅惑几率提高至63%	Cấp sau: Tăng sát thương mê hoặc đến 43%, tăng tỉ lệ mê hoặc đến 63%
对单体造成43%伤害的同时63%几率魅惑目标,使其在下一回合攻击本方武将	Gây 43% sát thương lên 1 kẻ địch và có 63% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至44%，魅惑几率提高至64%	Cấp sau: Tăng sát thương mê hoặc đến 44%, tăng tỉ lệ mê hoặc đến 64%
对单体造成44%伤害的同时64%几率魅惑目标,使其在下一回合攻击本方武将	Gây 44% sát thương lên 1 kẻ địch và có 64% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至45%，魅惑几率提高至65%	Cấp sau: Tăng sát thương mê hoặc đến 45%, tăng tỉ lệ mê hoặc đến 65%
对单体造成45%伤害的同时65%几率魅惑目标,使其在下一回合攻击本方武将	Gây 45% sát thương lên 1 kẻ địch và có 65% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至46%，魅惑几率提高至66%	Cấp sau: Tăng sát thương mê hoặc đến 46%, tăng tỉ lệ mê hoặc đến 66%
对单体造成46%伤害的同时66%几率魅惑目标,使其在下一回合攻击本方武将	Gây 46% sát thương lên 1 kẻ địch và có 66% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至47%，魅惑几率提高至67%	Cấp sau: Tăng sát thương mê hoặc đến 47%, tăng tỉ lệ mê hoặc đến 67%
对单体造成47%伤害的同时67%几率魅惑目标,使其在下一回合攻击本方武将	Gây 47% sát thương lên 1 kẻ địch và có 67% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至48%，魅惑几率提高至68%	Cấp sau: Tăng sát thương mê hoặc đến 48%, tăng tỉ lệ mê hoặc đến 68%
对单体造成48%伤害的同时68%几率魅惑目标,使其在下一回合攻击本方武将	Gây 48% sát thương lên 1 kẻ địch và có 68% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至49%，魅惑几率提高至69%	Cấp sau: Tăng sát thương mê hoặc đến 49%, tăng tỉ lệ mê hoặc đến 69%
对单体造成49%伤害的同时69%几率魅惑目标,使其在下一回合攻击本方武将	Gây 49% sát thương lên 1 kẻ địch và có 69% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至50%，魅惑几率提高至70%	Cấp sau: Tăng sát thương mê hoặc đến 50%, tăng tỉ lệ mê hoặc đến 70%
对单体造成50%伤害的同时70%几率魅惑目标,使其在下一回合攻击本方武将	Gây 50% sát thương lên 1 kẻ địch và có 70% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至51%，魅惑几率提高至71%	Cấp sau: Tăng sát thương mê hoặc đến 51%, tăng tỉ lệ mê hoặc đến 71%
对单体造成51%伤害的同时71%几率魅惑目标,使其在下一回合攻击本方武将	Gây 51% sát thương lên 1 kẻ địch và có 71% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至52%，魅惑几率提高至72%	Cấp sau: Tăng sát thương mê hoặc đến 52%, tăng tỉ lệ mê hoặc đến 72%
对单体造成52%伤害的同时72%几率魅惑目标,使其在下一回合攻击本方武将	Gây 52% sát thương lên 1 kẻ địch và có 72% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至53%，魅惑几率提高至73%	Cấp sau: Tăng sát thương mê hoặc đến 53%, tăng tỉ lệ mê hoặc đến 73%
对单体造成53%伤害的同时73%几率魅惑目标,使其在下一回合攻击本方武将	Gây 53% sát thương lên 1 kẻ địch và có 73% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至54%，魅惑几率提高至74%	Cấp sau: Tăng sát thương mê hoặc đến 54%, tăng tỉ lệ mê hoặc đến 74%
对单体造成54%伤害的同时74%几率魅惑目标,使其在下一回合攻击本方武将	Gây 54% sát thương lên 1 kẻ địch và có 74% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至55%，魅惑几率提高至75%	Cấp sau: Tăng sát thương mê hoặc đến 55%, tăng tỉ lệ mê hoặc đến 75%
对单体造成55%伤害的同时75%几率魅惑目标,使其在下一回合攻击本方武将	Gây 55% sát thương lên 1 kẻ địch và có 75% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至56%，魅惑几率提高至76%	Cấp sau: Tăng sát thương mê hoặc đến 56%, tăng tỉ lệ mê hoặc đến 76%
对单体造成56%伤害的同时76%几率魅惑目标,使其在下一回合攻击本方武将	Gây 56% sát thương lên 1 kẻ địch và có 76% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至57%，魅惑几率提高至77%	Cấp sau: Tăng sát thương mê hoặc đến 57%, tăng tỉ lệ mê hoặc đến 77%
对单体造成57%伤害的同时77%几率魅惑目标,使其在下一回合攻击本方武将	Gây 57% sát thương lên 1 kẻ địch và có 77% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至58%，魅惑几率提高至78%	Cấp sau: Tăng sát thương mê hoặc đến 58%, tăng tỉ lệ mê hoặc đến 78%
对单体造成58%伤害的同时78%几率魅惑目标,使其在下一回合攻击本方武将	Gây 58% sát thương lên 1 kẻ địch và có 78% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至59%，魅惑几率提高至79%	Cấp sau: Tăng sát thương mê hoặc đến 59%, tăng tỉ lệ mê hoặc đến 79%
对单体造成59%伤害的同时79%几率魅惑目标,使其在下一回合攻击本方武将	Gây 59% sát thương lên 1 kẻ địch và có 79% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至60%，魅惑几率提高至80%	Cấp sau: Tăng sát thương mê hoặc đến 60%, tăng tỉ lệ mê hoặc đến 80%
对单体造成60%伤害的同时80%几率魅惑目标,使其在下一回合攻击本方武将	Gây 60% sát thương lên 1 kẻ địch và có 80% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至61%，魅惑几率提高至81%	Cấp sau: Tăng sát thương mê hoặc đến 61%, tăng tỉ lệ mê hoặc đến 81%
对单体造成61%伤害的同时81%几率魅惑目标,使其在下一回合攻击本方武将	Gây 61% sát thương lên 1 kẻ địch và có 81% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至62%，魅惑几率提高至82%	Cấp sau: Tăng sát thương mê hoặc đến 62%, tăng tỉ lệ mê hoặc đến 82%
对单体造成62%伤害的同时82%几率魅惑目标,使其在下一回合攻击本方武将	Gây 62% sát thương lên 1 kẻ địch và có 82% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至63%，魅惑几率提高至83%	Cấp sau: Tăng sát thương mê hoặc đến 63%, tăng tỉ lệ mê hoặc đến 83%
对单体造成63%伤害的同时83%几率魅惑目标,使其在下一回合攻击本方武将	Gây 63% sát thương lên 1 kẻ địch và có 83% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至64%，魅惑几率提高至84%	Cấp sau: Tăng sát thương mê hoặc đến 64%, tăng tỉ lệ mê hoặc đến 84%
对单体造成64%伤害的同时84%几率魅惑目标,使其在下一回合攻击本方武将	Gây 64% sát thương lên 1 kẻ địch và có 84% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至65%，魅惑几率提高至85%	Cấp sau: Tăng sát thương mê hoặc đến 65%, tăng tỉ lệ mê hoặc đến 85%
对单体造成65%伤害的同时85%几率魅惑目标,使其在下一回合攻击本方武将	Gây 65% sát thương lên 1 kẻ địch và có 85% tỉ lệ mê hoặc mục tiêu, khiến họ công kích đồng đội trong hồi tiếp theo
下一级：魅惑伤害提高至66%，魅惑几率提高至86%	Cấp sau: Tăng sát thương mê hoặc đến 66%, tăng tỉ lệ mê hoặc đến 86%
